category,count
"Financial Services,Office Administration,Executive Offices",1
"Manufacturing,Chemical Raw Materials Manufacturing",1
"Fire Protection,Construction,Facilities Services",1
"IT System Custom Software Development,Internet Marketplace Platforms",1
"Staffing and Recruiting,Semiconductor Manufacturing,Human Resources Services",1
"Oil and Gas,Construction,Building Construction",1
"Restaurants,Consumer Services,Retail",1
"Technology, Information and Media,Computers and Electronics Manufacturing,IT System Installation and Disposal",1
"Hospitality,Food and Beverage Services,Appliances, Electrical, and Electronics Manufacturing",1
"Construction,Transportation Programs,Rail Transportation",1
"Information Services,IT System Custom Software Development,Strategic Management Services",1
"Appliances, Electrical, and Electronics Manufacturing,Computers and Electronics Manufacturing,Telecommunications",1
"Transportation, Logistics, Supply Chain and Storage,Warehousing and Storage,Design Services",1
"Business Consulting and Services,Engineering Services,Civil Engineering",1
"Semiconductor Manufacturing,Magnetic and Optical Media Manufacturing",1
"Software Development,Motor Vehicle Manufacturing",1
"Professional Training and Coaching,Non-profit Organizations",1
"Public Health,Non-profit Organizations,Higher Education",1
"Plastics Manufacturing,Artificial Rubber and Synthetic Fiber Manufacturing,Manufacturing",1
"Higher Education,Construction",1
"Natural Gas Distribution,Electric Power Generation",1
"Manufacturing,Wholesale,Medical Equipment Manufacturing",1
"Administrative and Support Services,Staffing and Recruiting",1
"Manufacturing,Transportation, Logistics, Supply Chain and Storage,Software Development",1
Outpatient Surgery,1
Installer and Technician,1
"Aerospace , Engineering",1
N3012 - Portion Cutter,1
#Retail2,1
Finance & AccountingDept Head/EC,1
"Industrial Machinery Manufacturing,Machinery Manufacturing,Paper and Forest Product Manufacturing",1
Plasterers,1
"Venture Capital and Private Equity Principals,Investment Management,Financial Services",1
"Aviation and Aerospace Component Manufacturing,Electrical Equipment Manufacturing",1
"Fabricated Metal Products,Primary Metal Manufacturing",1
"Appliances, Electrical, and Electronics Manufacturing,Computers and Electronics Manufacturing,Wholesale Appliances, Electrical, and Electronics",1
"Non-profit Organizations,Civic and Social Organizations",1
Trane Columbus,1
"Telecommunications,Appliances, Electrical, and Electronics Manufacturing,Electrical Equipment Manufacturing",1
Janitorial Team Lead,1
Reverse Engineering,1
"Design Services,Retail Apparel and Fashion",1
"Manufacturing,Semiconductor Manufacturing,Appliances, Electrical, and Electronics Manufacturing",1
"Construction,Civil Engineering,Appliances, Electrical, and Electronics Manufacturing",1
Nanotechnology Research,1
"Alternative Medicine,Retail",1
"Construction,Architecture and Planning,Hospitals and Health Care",1
"Food and Beverage Services,Retail Groceries",1
"Business Consulting and Services,Insurance,IT Services and IT Consulting",1
"Environmental Services,Commercial and Service Industry Machinery Manufacturing,Industrial Machinery Manufacturing",1
"Aviation and Aerospace Component Manufacturing,Chemical Raw Materials Manufacturing,Chemical Manufacturing",1
"Professional Services,Staffing and Recruiting",1
"Retail Apparel and Fashion,Manufacturing",1
"Packaging and Containers Manufacturing,Business Consulting and Services,Telecommunications",1
"Appliances, Electrical, and Electronics Manufacturing,Computers and Electronics Manufacturing,Motor Vehicle Manufacturing",1
"Retail Luxury Goods and Jewelry,Retail Apparel and Fashion,Interior Design",1
"Law Practice,Investment Management",1
"Food and Beverage Services,Caterers",1
"Law Practice,Legislative Offices,Legal Services",1
"Chemical Manufacturing,Chemical Raw Materials Manufacturing,Agricultural Chemical Manufacturing",1
"Manufacturing,Consumer Services,Broadcast Media Production and Distribution",1
"Industrial Machinery Manufacturing,Civil Engineering,Human Resources Services",1
"Transportation, Logistics, Supply Chain and Storage,Packaging and Containers Manufacturing,Manufacturing",1
"Education Administration Programs,Education,Higher Education",1
"IT Services and IT Consulting,Information Services,Design Services",1
"Industrial Machinery Manufacturing,Warehousing and Storage,Truck Transportation",1
"Hospitality,Furniture and Home Furnishings Manufacturing",1
"IT Services and IT Consulting,Pharmaceutical Manufacturing,Business Consulting and Services",1
"Manufacturing,Environmental Quality Programs",1
"IT Services and IT Consulting,Electric Power Generation,Services for Renewable Energy",1
"Office Administration,Administrative and Support Services,Staffing and Recruiting",1
"Mechanical Or Industrial Engineering,Air, Water, and Waste Program Management",1
"Internet Marketplace Platforms,IT System Custom Software Development,Technology, Information and Media",1
"Transportation, Logistics, Supply Chain and Storage,Non-profit Organizations",1
"Appliances, Electrical, and Electronics Manufacturing,Railroad Equipment Manufacturing,Aviation and Aerospace Component Manufacturing",1
"IT Services and IT Consulting,Motor Vehicle Manufacturing,Information Services",1
"Chemical Raw Materials Manufacturing,Personal Care Product Manufacturing",1
"Hospitals and Health Care,IT Services and IT Consulting,Retail Pharmacies",1
"Appliances, Electrical, and Electronics Manufacturing,Manufacturing,Transportation, Logistics, Supply Chain and Storage",1
"Paper and Forest Product Manufacturing,Industrial Machinery Manufacturing",1
"Hospitals and Health Care,Software Development,IT System Operations and Maintenance",1
"Aviation and Aerospace Component Manufacturing,Aviation & Aerospace",1
"Hospitals and Health Care,Biotechnology Research,Pharmaceutical Manufacturing",1
"Manufacturing,Electrical Equipment Manufacturing,Electric Power Transmission, Control, and Distribution",1
"Fabricated Metal Products,Primary Metal Manufacturing,Metal Treatments",1
"Hospitality,Restaurants,Entertainment Providers",1
"Office Administration,Real Estate",1
"Food and Beverage Services,Warehousing and Storage",1
"Non-profit Organizations,Accounting",1
Magnetic and Optical Media Manufacturing,1
"Engineering Services,Robotics Engineering",1
"Manufacturing,Medical Equipment Manufacturing,Chemical Manufacturing",1
"Airlines and Aviation,Technology, Information and Media",1
"Non-profit Organization Management,Community Development and Urban Planning",1
"IT Services and IT Consulting,Design Services,Software Development",1
"Financial Services,Real Estate,Software Development",1
E4417 - Supervisor Production Stock Yards,1
Human Resources and Sustainability,1
Registered Dietician,1
"Manufacturing,Motor Vehicle Parts Manufacturing,Metalworking Machinery Manufacturing",1
"Measuring and Control Instrument Manufacturing,Retail",1
"Entertainment Providers,Administrative and Support Services",1
Technology: Individual Contributors,1
27625,1
"Transportation, Logistics, Supply Chain and Storage,Real Estate",1
27588,1
Radiology/Imaging,1
"IT Services and IT Consulting,Outsourcing and Offshoring Consulting,Business Consulting and Services",1
MBTA Operations Supervisor,1
"healthcare-practitioners,installation-repair",1
#W2I Replacing Dayton Clark,1
Replacing: Matthew Kallaher #W2I,1
"Arts, Design and Media",1
Retail Other,1
"Wholesale Food and Beverage,Transportation, Logistics, Supply Chain and Storage,Food and Beverage Services",1
"Manufacturing,Measuring and Control Instrument Manufacturing,Medical Equipment Manufacturing",1
Replacing: Alex Diaz #W2I,1
"Manufacturing,Pharmaceutical Manufacturing,Medical Equipment Manufacturing",1
Customer Service/Call Center,1
Operations - EOSITMS INC - Sales & Procurement,1
"IT System Custom Software Development,Information Services,Insurance",1
"Staffing and Recruiting,Construction,Civil Engineering",1
"Food and Beverage Services,Transportation, Logistics, Supply Chain and Storage",1
Safety and Facilities Associate,1
Replacing: Robert Fanell #W2I,1
Mechanic - Springdale AR,1
"Legal Services,Business Consulting and Services,Courts of Law",1
Security Operations Supervisor,1
E3425 - VP National Sales,1
"E4629 - Sr Manager, Commercialization",1
AIP Investment Operations,1
"E4641 - Sr Director, FP&A Process & Consolidation",1
"Manufacturing,Industrial Machinery Manufacturing,Automation Machinery Manufacturing",1
Finance & Accounting Group,1
DH,1
"Medical Equipment Manufacturing,Hospitals and Health Care,Biotechnology Research",1
"Government Administration,Public Safety",1
"Business Consulting and Services,Information Services,IT Services and IT Consulting",1
MS - EOSITMS INC - Meta - ES - CollabSolutions - CTIP,1
"Aviation and Aerospace Component Manufacturing,Defense and Space Manufacturing,Military and International Affairs",1
#FC2 #cl_FC2 2/4/2026,1
"Personal Care Product Manufacturing,Consumer Services",1
"Computer Games,Entertainment Providers",1
"Retail,Retail Recyclable Materials & Used Merchandise,Online and Mail Order Retail",1
"Law Practice,Legal Services,Business Consulting and Services",1
"Facilities Services,Government Relations Services,Repair and Maintenance",1
"Machinery Manufacturing,Pharmaceutical Manufacturing",1
"Accounting,Collection Agencies,Financial Services",1
"Design Services,Retail Apparel and Fashion,Wholesale Apparel and Sewing Supplies",1
"Wholesale Building Materials,Manufacturing,Retail Building Materials and Garden Equipment",1
"Packaging and Containers Manufacturing,Transportation, Logistics, Supply Chain and Storage,Office Administration",1
"Staffing and Recruiting,Business Consulting and Services",1
"Computers and Electronics Manufacturing,Consumer Services,Computer Hardware Manufacturing",1
"Environmental Services,Transportation, Logistics, Supply Chain and Storage",1
"Wholesale Building Materials,Construction,Interior Design",1
"Industrial Machinery Manufacturing,Manufacturing,Maritime Transportation",1
"Wholesale,Online and Mail Order Retail",1
"Farming,Food and Beverage Manufacturing,Farming, Ranching, Forestry",1
"Manufacturing,Pharmaceutical Manufacturing,Retail Pharmacies",1
"Architecture and Planning,Architectural and Structural Metal Manufacturing",1
"Retail Apparel and Fashion,Retail Health and Personal Care Products,Retail Luxury Goods and Jewelry",1
"Insurance,Investment Banking",1
"Financial Services,Capital Markets,Banking",1
"Personal Care Product Manufacturing,Transportation, Logistics, Supply Chain and Storage",1
"Business Consulting and Services,IT Services and IT Consulting,Robotics Engineering",1
"Industrial Machinery Manufacturing,Machinery Manufacturing,Appliances, Electrical, and Electronics Manufacturing",1
"Advertising Services,Graphic Design,Marketing Services",1
"Software Development,IT System Data Services,IT Services and IT Consulting",1
Security Guards and Patrol Services,1
"Machinery Manufacturing,Oil, Gas, and Mining,Industrial Machinery Manufacturing",1
"Food and Beverage Services,Events Services,Hospitality",1
Market Research,1
"Building Construction,Construction",1
"IT System Custom Software Development,Software Development,IT Services and IT Consulting",1
"Medical Equipment Manufacturing,Chemical Manufacturing",1
"Entertainment Providers,Events Services,Hospitality",1
"Personal and Laundry Services,Retail Apparel and Fashion",1
"Construction,Administrative and Support Services,Office Administration",1
Strategic Management Services,1
"Real Estate,Venture Capital and Private Equity Principals",1
"Staffing and Recruiting,Telecommunications,Technology, Information and Internet",1
"Semiconductor Manufacturing,Pharmaceutical Manufacturing,Biotechnology Research",1
"Biotechnology Research,Financial Services,Legal Services",1
"Wholesale Building Materials,Construction,Wholesale",1
"Retail Apparel and Fashion,Retail Luxury Goods and Jewelry",1
"Engineering Services,Architecture and Planning,Building Construction",1
"Medical Practices,Medical Equipment Manufacturing,Technology, Information and Media",1
"Freight and Package Transportation,Truck Transportation,Transportation, Logistics, Supply Chain and Storage",1
"Business Consulting and Services,Medical Practices",1
"Engines and Power Transmission Equipment Manufacturing,Manufacturing,Motor Vehicle Manufacturing",1
"Hospitals and Health Care,Pharmaceutical Manufacturing,Staffing and Recruiting",1
Executive Offices,1
"Packaging and Containers Manufacturing,Transportation, Logistics, Supply Chain and Storage,Business Consulting and Services",1
"Investment Banking,Business Consulting and Services,Investment Management",1
"Entertainment Providers,Recreational Facilities,Construction",1
"Non-profit Organizations,Health and Human Services,Individual and Family Services",1
"Freight and Package Transportation,International Trade and Development",1
"Fabricated Metal Products,Metalworking Machinery Manufacturing,Manufacturing",1
"Renewable Energy Equipment Manufacturing,Services for Renewable Energy",1
Warehousing,1
"Hospitality,Food and Beverage Services,Golf Courses and Country Clubs",1
"Software Development,IT Services and IT Consulting,Construction",1
"Magnetic and Optical Media Manufacturing,Manufacturing",1
"Manufacturing,Defense and Space Manufacturing,Aviation and Aerospace Component Manufacturing",1
"Truck Transportation,Equipment Rental Services",1
"Chemical Manufacturing,Wholesale Chemical and Allied Products,Transportation, Logistics, Supply Chain and Storage",1
featured,1
"HVAC and Refrigeration Equipment Manufacturing,Human Resources Services",1
"Financial Services,Investment Banking,Capital Markets",1
"Sporting Goods Manufacturing,Defense and Space Manufacturing,Machinery Manufacturing",1
"Natural Gas Distribution,Chemical Manufacturing,Semiconductor Manufacturing",1
"Office Administration,Software Development,Venture Capital and Private Equity Principals",1
"Medical Equipment Manufacturing,Engineering Services,Manufacturing",1
"Appliances, Electrical, and Electronics Manufacturing,Semiconductor Manufacturing,Manufacturing",1
"Automation Machinery Manufacturing,Computer Hardware Manufacturing,Semiconductor Manufacturing",1
"Education,Architecture and Planning",1
"Insurance,Insurance and Employee Benefit Funds",1
"Executive Offices,Office Administration,Administrative and Support Services",1
HVAC and Refrigeration Equipment Manufacturing,1
"Computer and Network Security,Software Development",1
"Administrative and Support Services,Medical Practices",1
"Manufacturing,Industrial Machinery Manufacturing,Motor Vehicle Manufacturing",1
"Wholesale,Retail Furniture and Home Furnishings",1
"Investment Banking,Financial Services,Venture Capital and Private Equity Principals",1
"Medical Equipment Manufacturing,Pharmaceutical Manufacturing,Food and Beverage Manufacturing",1
"Social Networking Platforms,IT Services and IT Consulting",1
"Automation Machinery Manufacturing,Semiconductor Manufacturing,IT Services and IT Consulting",1
"Aviation and Aerospace Component Manufacturing,Space Research and Technology,Robotics Engineering",1
"Software Development,Information Services,IT System Training and Support",1
"Financial Services,Insurance,Investment Advice",1
"Food and Beverage Services,Hospitals and Health Care,Transportation, Logistics, Supply Chain and Storage",1
"Legal Services,Hospitals and Health Care,Medical Equipment Manufacturing",1
"Airlines and Aviation,Banking,Financial Services",1
"Software Development,Data Infrastructure and Analytics",1
"Individual and Family Services,Non-profit Organizations,Professional Training and Coaching",1
"Robotics Engineering,Computer Hardware Manufacturing",1
"Building Construction,Pharmaceutical Manufacturing,Construction",1
"Financial Services,Insurance",1
"Hospitals and Health Care,Health and Human Services,Staffing and Recruiting",1
"Manufacturing,Plastics Manufacturing",1
"Hospitality,Golf Courses and Country Clubs,Food and Beverage Services",1
"Financial Services,Technology, Information and Media,Medical Practices",1
"Hospitality,Food and Beverage Services,Restaurants",1
"Wholesale Building Materials,Construction",1
"Manufacturing,Personal Care Product Manufacturing",1
"Pension Funds,Non-profit Organizations",1
"Manufacturing,Oil, Gas, and Mining,Repair and Maintenance",1
Strategy & Corporate Development,1
"Building Construction,Real Estate,Construction",1
"Shipping, Receiving, and Inventory Clerks",1
General & Admin,1
Leadership - Finance,1
Hidden (28003),1
Outdoor Maintenance Cleaning,1
Avera Flandreau Medical Center,1
Wells Group,1
"Architecture and Planning,Electric Lighting Equipment Manufacturing,Office Furniture and Fixtures Manufacturing",1
"Law Practice,Courts of Law,Law Enforcement",1
"Biotechnology Research,Technology, Information and Media,IT System Custom Software Development",1
"Retail Recyclable Materials & Used Merchandise,Retail Apparel and Fashion,Warehousing and Storage",1
"Pharmaceutical Manufacturing,Financial Services,Biotechnology Research",1
"Defense and Space Manufacturing,Manufacturing,Industrial Machinery Manufacturing",1
"Retail,Manufacturing,Retail Luxury Goods and Jewelry",1
"Biotechnology Research,Chemical Manufacturing",1
"Nanotechnology Research,Manufacturing",1
"Staffing and Recruiting,IT Services and IT Consulting,Financial Services",1
Centralized Operations,1
"Engineering Services,Manufacturing,Services for Renewable Energy",1
"Legal Services,Entertainment Providers",1
"Utilities,Services for Renewable Energy,Electric Power Generation",1
"Utilities,Architecture and Planning,Utilities Administration",1
"Transportation, Logistics, Supply Chain and Storage,Restaurants,Retail",1
"IT Services and IT Consulting,Technology, Information and Media,Movies, Videos, and Sound",1
"Construction,Specialty Trade Contractors,Retail Appliances, Electrical, and Electronic Equipment",1
"Architecture and Planning,Real estate",1
"Staffing and Recruiting,Industrial Machinery Manufacturing,Engines and Power Transmission Equipment Manufacturing",1
"Manufacturing,Consumer Services,Staffing and Recruiting",1
"Appliances, Electrical, and Electronics Manufacturing,Retail Appliances, Electrical, and Electronic Equipment,Telecommunications",1
"Pharmaceutical Manufacturing,Biotechnology Research,Human Resources Services",1
"Restaurants,IT Services and IT Consulting",1
"Strategic Management Services,IT Services and IT Consulting,IT System Training and Support",1
"Pharmaceutical Manufacturing,Chemical Manufacturing,Medical Equipment Manufacturing",1
"Manufacturing,Financial Services,Transportation, Logistics, Supply Chain and Storage",1
"Professional Services,Biotechnology Research,Research Services",1
"Construction,Manufacturing,Pharmaceutical Manufacturing",1
"Chemical Manufacturing,Oil and Coal Product Manufacturing,Chemical Raw Materials Manufacturing",1
"Professional Training and Coaching,Construction",1
"Chemical Manufacturing,Food and Beverage Services,Food and Beverage Manufacturing",1
"Automation Machinery Manufacturing,Manufacturing,Industrial Machinery Manufacturing",1
"Professional Services,Design Services,Research Services",1
"Hospitality,Restaurants,Bars, Taverns, and Nightclubs",1
"Graphic Design,Marketing Services",1
"IT Services and IT Consulting,Food and Beverage Manufacturing,Food and Beverage Services",1
"Chemical Manufacturing,Staffing and Recruiting",1
"Investment Management,Specialty Trade Contractors,Financial Services",1
"Beverage Manufacturing,Manufacturing",1
"Gambling Facilities and Casinos,Marketing Services",1
"Motor Vehicle Manufacturing,Motor Vehicle Parts Manufacturing,Fabricated Metal Products",1
"Retail Apparel and Fashion,Fashion Accessories Manufacturing,Retail Luxury Goods and Jewelry",1
"Pharmaceutical Manufacturing,Research Services,Administrative and Support Services",1
"Financial Services,Human Resources Services,Professional Services",1
"Architecture and Planning,Utilities",1
"Appliances, Electrical, and Electronics Manufacturing,Computers and Electronics Manufacturing,IT System Design Services",1
"Manufacturing,Computers and Electronics Manufacturing,Electrical Equipment Manufacturing",1
"Staffing and Recruiting,Transportation, Logistics, Supply Chain and Storage,Warehousing and Storage",1
"Retail Apparel and Fashion,Retail,Human Resources Services",1
"Construction,Leasing Non-residential Real Estate",1
"IT Services and IT Consulting,Security and Investigations",1
"Transportation, Logistics, Supply Chain and Storage,Manufacturing,Hospitals and Health Care",1
"Hospitals and Health Care,Pharmaceutical Manufacturing,Research Services",1
"Financial Services,Banking,Design Services",1
"Office Administration,Financial Services",1
"Information Technology & Services,Insurance",1
"Biotechnology Research,Graphic Design",1
"Business Consulting and Services,Civil Engineering,Surveying and Mapping Services",1
Hospitality & Events Associate,1
IT Infrastructure,1
"Transportation, Logistics, Supply Chain and Storage,Freight and Package Transportation,Consumer Services",1
Event ManagementSupervisor,1
"Franklin, NY",1
Industrial Designer,1
Metaverse Development,1
Healthcare Compliance Officer,1
"Software Development,Technology, Information and Internet,Utilities",1
Management Analysts,1
Safety Team Lead (Guard Card Required),1
#W2I New headcount for LHWS office.,1
Net New 3/12/2026 #shared,1
Park Host - Part Time,1
Pressure Washer/Cleaner (CA DL Required),1
Replacing Chris Vanderlip #W2I,1
Replacing Brian Olortegui #W2I,1
"Information Services,Legal Services,Operations Consulting",1
"Medical Equipment Manufacturing,Pharmaceutical Manufacturing,Industrial Machinery Manufacturing",1
#W2I Replacing Neil Mastrud,1
Business Intelligence,1
New headcount for LHWS office (opening 1/23/26) #W2I Replacing MISAEL MARTINEZ,1
Market and Liquidity Risk,1
Lean Manufacturing,1
Global Supply Chain,1
Ocean County College,1
Replacing: Alexander Goewey #W2I,1
#W2I Replacing Kevin,1
Change Management,1
"Retail Appliances, Electrical, and Electronic Equipment,Household Appliance Manufacturing,Software Development",1
02- Executive Atlanta,1
"Law Practice,Events Services,Business Consulting and Services",1
"IT Services and IT Consulting,IT System Testing and Evaluation,Software Development",1
"Entertainment Providers,Broadcast Media Production and Distribution,Amusement Parks and Arcades",1
NURSING-STAFF - AMB/CLINICS/COMMUN,1
"Nursing RN, Psychiatry, Psychology",1
Clean Ambassador - Day Shift,1
"Claims Adjusting, Actuarial Services,Insurance",1
"Grady, OK",1
Replacing: Gregory Sears #W2I,1
Data entry clerks,1
Capital Adequacy,1
"Transportation Programs,Technology, Information and Media,Food and Beverage Services",1
"Venture Capital and Private Equity Principals,Financial Services,Law Practice",1
"Software engineer,agile,boost,css,cybersecurity,devsecops,frameworks,git,gitlab,gradle,impact,integration,java,javascript,lead,product,red,rest,scrum,search,sed,selenium,solution,test,web",1
"Technology, Information and Media,Government Administration,Hospitals and Health Care",1
Vascular Imaging Facilitator,1
Corporate: Leadership,1
Trading,1
Merchandise Planning,1
"Retail,Executive Offices,Office Administration",1
"N1192 - Transportation Coordinator, Specialty",1
"Administrative and Support Services,Computer and Network Security",1
"Transportation, Logistics, Supply Chain and Storage,Wholesale Apparel and Sewing Supplies",1
Mechanic C,1
AI / ML,1
"Food and Beverage Manufacturing,Warehousing and Storage,Wholesale Food and Beverage",1
"Financial Services,Venture Capital and Private Equity Principals,Staffing and Recruiting",1
"Accounting,Aviation and Aerospace Component Manufacturing",1
Metro Shift Supervisor,1
"Investment Management,Venture Capital and Private Equity Principals,Business Consulting and Services",1
E2638 - Category Operations Manager,1
Replacing: Ralph Gillespie #W2I,1
"Outsourcing and Offshoring Consulting,IT Services and IT Consulting",1
"<p></p> <p><span style=""font-weight:800""> Location:</span> 1725 W Harrison St, Chicago, Illinois 60612</p> <p><span style=""font-weight:800""> Business Unit: </span>Rush Medical Group</p> <p></p> <p><span style=""font-weight:800"">Must be able to all Rush Medical Group clinics in the Chicagoland area (including suburbs)</span></p><p></p> <p><span style=""font-weight:800"">Work Type: </span>Full-Time - 40 Hours per week (1.0 FTE)</p> <p></p> <p></p> <p><span style=""font-weight:800"">Rush offers exceptional rewards and benefits learn more at our </span><a class=""has-tooltip"" href=""https://www.rush.edu/rush-careers/employee-benefits"" target=""_blank"" rel=""noopener noreferrer"">Rush benefits page</a> (https://www.rush.edu/rush-careers/employee-benefits).</p> <p><span style=""font-size:1.6rem;background-color:transparent;font-weight:800"">Pay Range: </span><span style=""font-size:1.6rem;font-weight:400;background-color:transparent"">$37.50 - $62.21 per hour</span></p><p><span style=""font-size:1.6rem;background-color:transparent""><b>$7.00 per hour Float differential</b></span></p><p></p><p></p> Rush salaries are determined by many factors including, but not limited to, education, job-related experience and skills, as well as internal equity and industry specific market data. The pay range for each role reflects Rush’s anticipated wage or salary reasonably expected to be offered for the position. Offers may vary depending on the circumstances of each case. <p>Summary:<br />The Ambulatory RN 2 identifies patterns of patient responses and can use past experiences to implement solutions for current situations. The Ambulatory RN 2 is a competent nurse who has mastered technical skills and utilizes evidence based interventions. The Ambulatory RN 2 continues to collaborate with other members of the health care team when the need for assistance is identified. Exemplifies the Rush mission, vision and values and acts in accordance with Rush policies and procedures.</p> <p>Other information:<br />Required Job Qualifications:<br />• Current State of Illinois Registered Nurse licensure.<br />• Three years’ nursing experience.<br />• Earned Nursing Degree at the Baccalaureate level or higher for those hired after January 1, 20•<br />• All transfers to Rush University Medical Center or Rush University Medical Group from other Rush entities must have an earned nursing degree at the baccalaureate level or higher prior to the transfer. <br />• Chief Nursing Officer must provide approval for any RNs with ADN degree hired after 10/22/2020, based upon unit need. ADN RNs hired after 10/22/2020 must show continued enrolment towards a BSN degree with a signature of contract stipulating a BSN degree must be completed within 3 years of hire, Failure to do so will result in termination. ADN RNS are not eligible for leveling to RN3.<br />• Current CPR Certification.<br />•• Analytical ability. <br />• Communication skills in order to lead and teach. <br />• Ability to interact effectively with others in difficult situations.  <br />• The ability to check documents for errors, use a keyboard to enter or retrieve data, and closely examine specimens, images or reports.<br />- A specialty certification may be required for certain departments within 12 months of hire.<br /><br />Preferred Job Qualifications:<br />• National Certification.<br /><br />Physical Demands:<br />• Ability to walk throughout the Medical Center and to be standing or walking most of the designated shift. <br />• Ability to lifting or carrying objects 35-40lbs. and lifting and positioning patients, some of whom may exceed 300 lbs.  <br />• Work conditions include performing procedures where carelessness could result in injury or illness and/or contact with potentially infectious materials and/or strong chemical agents.<br /></p> <p>Responsibilities:<br />1.	Establishes a caring, therapeutic relationship with patients and families through effective communication, acknowledgement of patient/family perceptions of health and illness and mutual goal setting for optimal patient experience and outcomes. <br />2.	Implements a plan of care that incorporates the unique characteristics of patients, families, groups and communities. (Cultural, spiritual, intellectual, age educational and psychosocial). <br />3.	Maintains positive, professional relationships with all members of the healthcare team through effective communication, mutual support and respect. Collaborates and communicates consistently and effectively with other disciplines and services to meet the needs of patients/families. <br />4.	Utilizes resources to effectively resolve conflict and improve team relationships in support of a healthy work environment. <br />5.	Coordinates care using the nursing process, multidisciplinary collaboration and coordination of all appropriate health services and community resources across the care continuum. <br />6.	Utilizes evidence-based ambulatory care nursing interventions during clinical visits, telephone encounters, and electronic communications according to state regulations, regulatory agency standards and organizational policies and procedures. <br />7.	Communicates current evidence-based strategies, standards of care and protocols with peers. <br />8.	Participates in and contributes to system and clinic based quality initiatives, research, development of care protocols and evidence based activities that improve patient care and outcomes. <br />9.	Demonstrates accountability for implementing policies related to safe and effective administration of medications, the use of medical devices in the delivery of patient care and in the performance of patient procedures. <br />10.	Applies the teaching- learning process to meet the learning and self-management needs of patients and families. <br />11.	Assesses patient safety needs and implements appropriate strategies to minimize risk during clinical visits, telephone encounters and electronic communications. <br />12.	Recognizes changes in patient status and consistently responds effectively to optimize patient outcomes. <br />13.	Recognizes patterns and problems in a specific patient population that require evaluation. <br />14.	Demonstrates the ability to prioritize care for complex patients based on knowledge acquired from previous clinical experiences. <br />15.	Utilizes competent assessment skills to holistically evaluate the physical and psychosocial needs of patients and families throughout the care continuum. Critically analyzes patient cases and effectively adapts the plan of care. <br />16.	Establish regular communication patterns that facilitate the transition of care for patients and families across settings. <br />17.	Demonstrates accountability for own professional practice, including progress toward achievement of annual goals. <br />18.	Considers factors related to resources utilization when delivering care to patients and families.<br />19.	Supports clinic goals and change initiatives and participates in nursing shared governance. <br />20.	Collaborates with other clinic personnel to ensure task completion to consistently optimize patient outcomes. <br />21.	Provides education to staff and/or students in the clinic.</p> <p>Rush is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics.</p>",1
Hidden (8748),1
Customer Site Deployment (Inactive),1
N1830 - Marketing Coordinator - Area,1
"Oil and Gas,Technology, Information and Media,Information Services",1
Contract and Finance Administrator,1
Management- Sales,1
#FC3 #cl_FC3 1/20/2026,1
"Marketing Services,Banking,Financial Services",1
"Aviation and Aerospace Component Manufacturing,Government Administration,Defense and Space Manufacturing",1
Legal & Government Relations,1
Credit Customer Services,1
Replacing: Cole Barton #W2I,1
CLT_Charlotte_300,1
Rental Maintenance,1
"Construction,Industrial Machinery Manufacturing,Architecture and Planning",1
Replacing: Kyle Kalasz-Counts #W2I,1
Security Associate - Unarmed,1
